idx,trip_load,transit_date,trip_id,pattern_num,block_abbr,trip_load_4_bin_transit
0,0.0,890,890,890,890,890
1,1.0,1114,1114,1114,1114,1114
2,2.0,1915,1915,1915,1915,1915
3,3.0,2616,2616,2616,2616,2616
4,4.0,3178,3178,3178,3178,3178
5,5.0,3607,3607,3607,3607,3607
6,6.0,3783,3783,3783,3783,3783
7,7.0,3853,3853,3853,3853,3853
8,8.0,3688,3688,3688,3688,3688
9,9.0,3426,3426,3426,3426,3426
10,10.0,3084,3084,3084,3084,3084
11,11.0,2675,2675,2675,2675,2675
12,12.0,2357,2357,2357,2357,2357
13,13.0,1996,1996,1996,1996,1996
14,14.0,1645,1645,1645,1645,1645
15,15.0,1475,1475,1475,1475,1475
16,16.0,1183,1183,1183,1183,1183
17,17.0,988,988,988,988,988
18,18.0,864,864,864,864,864
19,19.0,687,687,687,687,687
20,20.0,570,570,570,570,570
21,21.0,474,474,474,474,474
22,22.0,420,420,420,420,420
23,23.0,336,336,336,336,336
24,24.0,287,287,287,287,287
25,25.0,228,228,228,228,228
26,26.0,202,202,202,202,202
27,27.0,144,144,144,144,144
28,28.0,136,136,136,136,136
29,29.0,117,117,117,117,117
30,30.0,90,90,90,90,90
31,31.0,80,80,80,80,80
32,32.0,79,79,79,79,79
33,33.0,55,55,55,55,55
34,34.0,55,55,55,55,55
35,35.0,37,37,37,37,37
36,36.0,36,36,36,36,36
37,37.0,37,37,37,37,37
38,38.0,30,30,30,30,30
39,39.0,22,22,22,22,22
40,40.0,30,30,30,30,30
41,41.0,28,28,28,28,28
42,42.0,22,22,22,22,22
43,43.0,19,19,19,19,19
44,44.0,18,18,18,18,18
45,45.0,16,16,16,16,16
46,46.0,12,12,12,12,12
47,47.0,19,19,19,19,19
48,48.0,11,11,11,11,11
49,49.0,15,15,15,15,15
50,50.0,9,9,9,9,9
51,51.0,14,14,14,14,14
52,52.0,10,10,10,10,10
53,53.0,1,1,1,1,1
54,54.0,6,6,6,6,6
55,55.0,8,8,8,8,8
56,56.0,3,3,3,3,3
57,57.0,4,4,4,4,4
58,58.0,4,4,4,4,4
59,59.0,5,5,5,5,5
60,60.0,2,2,2,2,2
61,61.0,2,2,2,2,2
62,62.0,3,3,3,3,3
63,63.0,3,3,3,3,3
64,65.0,2,2,2,2,2
65,66.0,1,1,1,1,1
66,67.0,3,3,3,3,3
67,68.0,1,1,1,1,1
68,70.0,1,1,1,1,1
69,71.0,3,3,3,3,3
70,73.0,1,1,1,1,1
71,77.0,1,1,1,1,1
72,81.0,1,1,1,1,1
73,87.0,1,1,1,1,1
74,92.0,1,1,1,1,1
75,93.0,1,1,1,1,1
76,95.0,1,1,1,1,1
77,96.0,1,1,1,1,1
78,104.0,1,1,1,1,1
79,161.0,1,1,1,1,1
80,165.0,2,2,2,2,2
81,167.0,1,1,1,1,1
82,168.0,5,5,5,5,5
83,169.0,3,3,3,3,3
84,173.0,3,3,3,3,3
85,174.0,2,2,2,2,2
