idx,year,month,day,miss,need,bought,peak_bldg_buy_kwh,offpeak_bldg_buy_kwh,peak_chg_buy_kwh,offpeak_chg_buy_kwh,policy
0,2023,4,1,0.0,11.9,20.0,833.75,250.0,20.0,0.0,0.0
1,2023,4,2,0.0,12.356799999999993,25.000000000000004,833.75,242.85,25.0,0.0,0.0
2,2023,4,3,0.0,34.34720000000001,49.99999999999999,833.75,242.85,50.0,0.0,0.0
3,2023,4,4,0.0,66.257,94.99999999999996,833.75,242.85,95.0,0.0,0.0
4,2023,4,5,0.0,46.908,60.000000000000014,833.75,242.90000000000003,60.0,0.0,0.0
5,2023,4,6,0.0,101.261,110.00000000000004,833.75,242.90000000000003,110.0,0.0,0.0
6,2023,4,7,0.0,109.76019999999998,160.0,793.9625000000001,232.94166666666663,160.0,0.0,0.0
7,2023,4,8,0.0,12.046600000000003,15.000000000000004,450.3375,224.65833333333333,15.0,0.0,0.0
8,2023,4,9,0.0,23.119000000000003,30.000000000000007,451.6125,216.575,30.0,0.0,0.0
9,2023,4,10,0.0,100.9848,130.0,1219.4916666666666,225.1833333333333,130.0,0.0,0.0
10,2023,4,11,0.0,58.6592,75.0,1068.3041666666668,216.6833333333333,75.0,0.0,0.0
11,2023,4,12,0.0,96.3734,115.0,960.2875,213.3875,115.0,0.0,0.0
12,2023,4,13,0.0,113.041,154.99999999999997,949.79375,219.10625,155.0,0.0,0.0
13,2023,4,14,0.0,67.80839999999999,95.0,976.975,213.1125,95.0,0.0,0.0
14,2023,4,15,0.0,4.352,5.0,425.2,211.025,5.0,0.0,0.0
15,2023,4,16,0.0,2.5520000000000014,5.000000000000002,447.70416666666665,222.5583333333333,5.0,0.0,0.0
16,2023,4,17,0.0,33.623999999999995,45.0,900.0375,236.65,45.0,0.0,0.0
17,2023,4,18,0.0,20.72,35.00000000000001,880.5062499999999,238.31875,35.0,0.0,0.0
18,2023,4,19,0.0,90.876,105.00000000000004,993.3625,241.4125,105.0,0.0,0.0
19,2023,4,20,0.0,79.8658,95.0,1125.8416666666667,235.1458333333333,95.0,0.0,0.0
20,2023,4,21,0.0,110.2194,150.0,1313.0125,238.3,150.0,0.0,0.0
21,2023,4,22,0.0,24.9712,35.0,463.0958333333333,207.30416666666667,35.0,0.0,0.0
22,2023,4,23,0.0,12.691399999999998,14.999999999999996,440.0875,204.25,15.0,0.0,0.0
23,2023,4,24,0.0,67.69160000000001,85.0,1166.5875,211.2375,85.0,0.0,0.0
24,2023,4,25,0.0,87.08479999999999,110.00000000000004,1342.6,224.8375,110.0,0.0,0.0
25,2023,4,26,0.0,72.80219999999997,85.00000000000001,1489.275,238.7,85.0,0.0,0.0
26,2023,4,27,0.0,68.027,90.0,1651.6,245.575,90.0,0.0,0.0
27,2023,4,28,0.0,66.40780000000001,80.00000000000001,1447.4625,251.5375,80.0,0.0,0.0
28,2023,4,29,0.0,4.988000000000001,4.999999999999998,458.6208333333333,228.99166666666667,5.0,0.0,0.0
29,2023,4,30,0.0,11.092200000000004,20.0,456.1125,225.25,20.0,0.0,0.0
30,2023,6,1,0.0,96.3108,120.0,1033.9333333333332,243.54166666666663,120.0,0.0,0.0
31,2023,6,2,0.0,78.74000000000002,110.0,1078.475,230.7375,110.0,0.0,0.0
32,2023,6,3,0.0,10.1246,15.0,497.92083333333335,221.09583333333333,15.0,0.0,0.0
